ABC	5010241	73
ABC	5010242	83
ABC	5010251	73
ABC	5010252	83
ABC	5010301	73
ABC	5010302	83
ABC	5010641	73
ABC	5010642	83
ABC	5010651	73
ABC	5010652	83
ABC	5010661	73
ABC	5010662	83
ABC	5010671	73
ABC	5010672	83
ABC	5020121	73
ABC	5020122	83
ABC	5020151	73
ABC	5020152	83
ABC	5020161	73
ABC	5020162	83
ABC	5020201	73
ABC	5020202	83
ABC	5020581	73
ABC	5020582	83
ABC	5020591	73
ABC	5020592	83
ABC	5020601	73
ABC	5020602	83
ABC	5020631	73
ABC	5020632	83
ABC	5030031	73
ABC	5030032	83
ABC	5030101	73
ABC	5030102	83
ABC	5030851	73
ABC	5030852	83
ABC	5030861	73
ABC	5030862	83
ABC	5040391	73
ABC	5040392	83
ABC	5040401	73
ABC	5040402	83
ABC	5040421	73
ABC	5040422	83
ABC	5040831	73
ABC	5040832	83
ABC	5040841	73
ABC	5040842	83
ABC	5050351	73
ABC	5050352	83
ABC	5050361	73
ABC	5050362	83
