PTX	45001	54.99
PTX	1247P6	115.99
KMJ	91283-5KIT	156.84
PTX	91283	115.99
PTX	9ML-182	127.99
KMJ	9ML-182-5KIT	168.84
PTX	1142	94.99
KMJ	1142-2KIT	132.7
PTX	D104600	174.99
