QUI	50-020	65.95
QUI	50-022	57.65
QUI	50-053	45.9
QUI	50-102	35.55
QUI	50-163	109.99
QUI	50-200	25.99
QUI	50-201	24.98
QUI	50-230	165.99
QUI	50-232	173.95
QUI	50-430	25.93
QUI	50-501	20.95
QUI	55-009	39.9
QUI	55-012	39
QUI	56-007	20.89
QUI	56-008	21.65
QUI	56-022	44.9
QUI	56-042	45.72
QUI	56-062	45.72
QUI	56-065	68.9
QUI	56-260	76.7
QUI	57-009	61.97
QUI	57-010	83.85
QUI	57-012	145.9
QUI	57-620	27.99
QUI	57-700	17.49
QUI	57-703	33.85
QUI	57-820	11.43
QUI	58-221	59.95
QUI	58-222	59.95
QUI	58-223	59.95
QUI	58-224	59.95
QUI	58-225	59.95
QUI	58-231	59.95
QUI	58-232	59.95
QUI	58-233	59.95
QUI	58-234	59.95
QUI	58-235	59.95
QUI	58-241	24.95
QUI	58-242	24.95
QUI	58-243	24.95
QUI	61-0601	229.75
QUI	61-0621	318.99
QUI	61-0652	617.99
QUI	61-0661	509.99
QUI	61-101	68.75
QUI	61-103	68.99
QUI	61-5001	113.95
QUI	61-5012	158.99
QUI	61-5031	269.95
QUI	61-5042	319.95
QUI	61-6001	99.95
QUI	61-6012	149.95
QUI	61-6031	266.75
QUI	61-6042	304.75
QUI	61-711	28.45
QUI	61-712	24.94
QUI	61-714	39.95
QUI	61-719	31.3
QUI	61-740	24.95
QUI	611-1000	29.95
QUI	611-1001	159.95
QUI	611-1002	159.95
QUI	611-1003	29.95
QUI	611-1006	43.95
QUI	611-3421	57.95
QUI	611-4521	79.99
QUI	611-6000	35.35
QUI	611-6001	142.75
QUI	611-6002	144.95
QUI	611-6003	34.95
QUI	611-6006	48.99
QUI	68-001	54.98
QUI	68-0011	53.99
QUI	68-0012	53.99
QUI	68-003	55.99
QUI	68-0031	55.99
QUI	68-0032	55.99
QUI	08-080	14.1
QUI	08-085	14.2
QUI	08-090	14.3
QUI	08-095	14.45
QUI	08-100	14.55
QUI	08-105	14.65
QUI	08-110	14.75
QUI	08-115	14.9
QUI	08-120	15
QUI	08-125	15.1
QUI	08-130	15.2
QUI	08-135	15.3
QUI	08-140	15.4
QUI	08-145	15.55
QUI	08-150	15.65
QUI	08-155	15.75
QUI	08-160	15.85
QUI	08-165	16
QUI	08-170	16.1
QUI	08-175	16.2
QUI	08-180	16.3
QUI	08-185	16.4
QUI	08-190	16.5
QUI	08-195	16.65
QUI	08-200	16.75
QUI	31-060	13.7
QUI	31-065	13.8
QUI	31-070	13.9
QUI	31-075	14
QUI	31-080	14.1
QUI	31-085	14.2
QUI	31-090	14.3
QUI	31-095	14.45
QUI	31-100	14.55
QUI	31-105	14.65
QUI	31-110	14.75
QUI	31-115	14.9
QUI	31-120	15
QUI	31-125	15.1
QUI	31-130	15.2
QUI	31-135	15.3
QUI	31-140	15.4
QUI	31-145	15.55
QUI	31-150	15.65
QUI	31-155	15.75
QUI	31-160	15.85
QUI	31-165	16
QUI	31-170	16.1
QUI	31-175	16.2
QUI	31-180	16.3
QUI	31-185	16.4
QUI	31-190	16.5
QUI	31-195	16.65
QUI	31-200	16.75
QUI	31-205	16.85
QUI	31-210	16.95
QUI	31-215	17.05
QUI	31-220	17.2
QUI	31-225	17.3
QUI	31-230	17.4
QUI	31-235	17.5
QUI	31-240	17.6
QUI	31-245	17.7
QUI	31-250	17.8
QUI	31-255	17.9
QUI	31-260	18
QUI	38-080	14.1
QUI	38-085	14.2
QUI	38-090	14.3
QUI	38-095	14.45
QUI	38-100	14.55
QUI	38-105	14.65
QUI	38-110	14.75
QUI	38-115	14.9
QUI	38-120	15
QUI	38-125	15.1
QUI	38-130	15.2
QUI	38-135	15.3
QUI	38-140	15.4
QUI	38-145	15.55
QUI	38-150	15.65
QUI	38-155	15.75
QUI	38-160	15.85
QUI	38-165	16
QUI	38-170	16.1
QUI	38-175	16.2
QUI	38-180	16.3
QUI	38-185	16.4
QUI	38-190	16.5
QUI	38-195	16.65
QUI	38-200	16.75
QUI	40-100	299.95
QUI	40-121	38.95
QUI	40-123	38.95
QUI	40-125	38.95
QUI	40-127	38.95
QUI	40-150	269.95
QUI	40-181	43.95
QUI	40-183	43.95
QUI	40-185	43.95
QUI	40-187	43.95
QUI	40-241	47.95
QUI	40-243	47.95
QUI	40-245	47.95
QUI	40-247	47.95
QUI	40-300	299.95
QUI	40-350	269.95
QUI	40-361	59.95
QUI	40-363	59.95
QUI	40-365	59.95
QUI	40-367	59.95
QUI	40-421	71.95
QUI	40-423	71.95
QUI	40-425	71.95
QUI	40-427	71.95
QUI	40-500	219.95
QUI	40-700	219.95
QUI	50-001	25.95
QUI	50-003	3.5
QUI	50-004	3.25
QUI	50-023	54.95
QUI	50-025	59.95
QUI	50-031	69.95
QUI	50-033	79.95
QUI	50-034	10.95
QUI	50-052	36.95
QUI	50-103	37.95
QUI	50-164	104.95
QUI	50-165	67.95
QUI	50-166	79.95
QUI	50-1711	121.95
QUI	50-1713	131.95
QUI	50-1714	174.95
QUI	50-190	76.95
QUI	50-2001	4.95
QUI	50-2002	4.95
QUI	50-2006	39.95
QUI	50-2007	39.95
QUI	50-2008	21.95
QUI	50-2021	109.95
QUI	50-2030	119.95
QUI	50-2031	72.95
QUI	50-2032	57.95
QUI	50-2034	98.95
QUI	50-2037	119.95
QUI	50-2051	98.95
QUI	50-207	15.95
QUI	50-212	619.95
QUI	50-231	169.95
QUI	50-234	139.95
QUI	50-235	149.95
QUI	50-236	129.95
QUI	50-300  	0.59
QUI	50-301	0.59
QUI	50-302	0.59
QUI	50-303	0.59
QUI	50-310	3.69
QUI	50-311	3.09
QUI	50-312	6.09
QUI	50-320	4.09
QUI	50-321	3.69
QUI	50-322	7.09
QUI	50-330	4.49
QUI	50-331	4.09
QUI	50-332	7.69
QUI	50-340	5.09
QUI	50-341	4.49
QUI	50-342	8.79
QUI	50-360	5.49
QUI	50-361	5.09
QUI	50-362	9.59
QUI	50-380	99.95
QUI	50-393	31.95
QUI	50-395	119.95
QUI	50-398	159.95
QUI	50-399	9.95
QUI	50-400	20.95
QUI	50-401	20.95
QUI	50-402	33.95
QUI	50-403	39.95
QUI	50-410	20.95
QUI	50-415	20.95
QUI	50-417	22.95
QUI	50-420	27.95
QUI	50-421	4.99
QUI	50-422	6.95
QUI	50-424	6.95
QUI	50-434	22.95
QUI	50-435	6.95
QUI	50-440	35.95
QUI	50-442	22.95
QUI	50-500	9.95
QUI	50-502	27.95
QUI	50-503	14.95
QUI	50-504	14.95
QUI	50-505	9.95
QUI	50-506	9.95
QUI	50-507	33.95
QUI	50-510	9.95
QUI	50-512	12.95
QUI	50-513	5.39
QUI	50-514	4.95
QUI	50-520	17.95
QUI	50-522	12.95
QUI	50-524	4.95
QUI	50-526	4.95
QUI	50-601	7.95
QUI	50-609	7.95
QUI	50-610	4.95
QUI	50-711	89.95
QUI	50-7164	239.95
QUI	50-720	76.95
QUI	50-731	86.95
QUI	50-740	100.95
QUI	50-7411	115.95
QUI	50-7431	109.95
QUI	50-750	71.95
QUI	50-7531	76.95
QUI	50-7611	144.95
QUI	50-7614	164.95
QUI	50-7631	129.95
QUI	50-7711	121.95
QUI	50-7713	131.95
QUI	50-7714	174.95
QUI	50-7731	114.95
QUI	50-790	76.95
QUI	50-7911	89.95
QUI	50-7931	86.95
QUI	50-802	32.95
QUI	50-803	37.95
QUI	50-820	65.95
QUI	50-822	49.95
QUI	50-823	54.95
QUI	50-825	59.95
QUI	50-830	179.95
QUI	50-831	169.95
QUI	50-832	179.95
QUI	50-833	79.95
QUI	50-834	139.95
QUI	50-835	149.95
QUI	50-836	129.95
QUI	50-852	36.95
QUI	50-853	41.95
QUI	50-863	89.95
QUI	50-864	104.95
QUI	50-865	67.95
QUI	50-866	79.95
QUI	51-004	25.95
QUI	51-017	59.95
QUI	51-037	31.95
QUI	51-038	31.95
QUI	51-039	31.95
QUI	51-040	31.95
QUI	51-041	29.95
QUI	51-043	29.95
QUI	51-044	29.95
QUI	51-046	29.95
QUI	51-048	32.95
QUI	51-051	80.95
QUI	51-0512	69.95
QUI	51-052	80.95
QUI	51-0522	69.95
QUI	51-053	80.95
QUI	51-0532	69.95
QUI	51-054	80.95
QUI	51-0542	69.95
QUI	51-064	73.95
QUI	51-070	86.95
QUI	51-071	144.95
QUI	51-201      	7.95
QUI	51-210	7.95
QUI	51-215	7.95
QUI	51-230	7.95
QUI	51-235	8.95
QUI	51-236	7.95
QUI	51-237	7.95
QUI	52-163	109.95
QUI	52-164	132.95
QUI	52-165	71.95
QUI	52-166	96.95
QUI	52-500	8.95
QUI	52-510	9.95
QUI	52-512	11.95
QUI	52-515	8.95
QUI	52-601	10.95
QUI	52-602	10.95
QUI	52-604	10.95
QUI	52-609	10.95
QUI	52-615	12.95
QUI	52-863	109.95
QUI	52-864	132.95
QUI	52-865	71.95
QUI	52-866	96.95
QUI	55-001	25.95
QUI	55-002	28.95
QUI	55-003	18.95
QUI	55-004	3.69
QUI	55-010	29.95
QUI	55-011	32.95
QUI	55-021	29.95
QUI	55-022	32.95
QUI	55-120	4.95
QUI	55-55	3.95
QUI	56-001	17.95
QUI	56-002	15.95
QUI	56-0021	20.95
QUI	56-0022	20.95
QUI	56-003	5.95
QUI	56-004	15.95
QUI	56-0041	20.95
QUI	56-0042	20.95
QUI	56-006	15.95
QUI	56-0061	20.95
QUI	56-0062	20.95
QUI	56-009	16.95
QUI	56-010	12.95
QUI	56-020	32.95
QUI	56-021	38.95
QUI	56-040	32.95
QUI	56-041	38.95
QUI	56-060	32.95
QUI	56-061	38.95
QUI	56-070	39.95
QUI	56-085	89.95
QUI	56-100	9.95
QUI	56-102	159.95
QUI	56-104	19.95
QUI	56-105	89.95
QUI	56-108	20.95
QUI	56-110	4.95
QUI	56-111	4.95
QUI	56-115	3.79
QUI	56-116	12.95
QUI	56-119	4.95
QUI	56-120	6.95
QUI	56-121	8.95
QUI	56-122	10.95
QUI	56-123	13.95
QUI	56-124	33.95
QUI	56-155	59.95
QUI	56-161	209.95
QUI	56-162	209.95
QUI	56-163	124.95
QUI	56-167	49.95
QUI	56-168	49.95
QUI	56-169	49.95
QUI	56-170	49.95
QUI	56-207	9.95
QUI	56-208	39.95
QUI	56-220	69.95
QUI	56-221	75.95
QUI	56-222	75.95
QUI	56-240	69.95
QUI	56-241	75.95
QUI	56-242	75.95
QUI	56-261	75.95
QUI	56-262	75.95
QUI	56-270	75.95
QUI	56-285	99.95
QUI	56-830	139.95
QUI	56-831	109.95
QUI	56-833	134.95
QUI	56-834	134.95
QUI	56-835	134.95
QUI	56-836	134.95
QUI	56-837	59.95
QUI	56-838	39.95
QUI	56-839	39.95
QUI	56-842	39.95
QUI	56-843	39.95
QUI	56-844	39.95
QUI	56-845	39.95
QUI	56-9001	3.95
QUI	56-9002	4.95
QUI	56-9141	5.95
QUI	56-9143	5.95
QUI	56-9144	5.95
QUI	56-9145	5.95
