"SKU","UPC"
"FRA 580403",
"FRA 580404",
"FRA 580406",
"FRA 581503",
"FRA 581504",
"FRA 581506",
"FRA 581603",
"FRA 581604",
"FRA 581605",
"FRA 581606",
"FRA 581608",
"FRA 582203",
"FRA 582204",
"FRA 582206",
"FRA 582303",
"FRA 582304",
"FRA 582306",
"FRA 582308",
"FRA 582403",
"FRA 582404",
"FRA 582503",
"FRA 582504",
"FRA 582506",
"FRA 582603",
"FRA 582606",
"FRA 583203",
"FRA 583204",
"FRA 583206",
"FRA 583303",
"FRA 583306",
"FRA 583404",
"FRA 583406",
"FRA 583703",
"FRA 583704",
"FRA 583706",
"FRA 592403",
"FRA 592404",
"FRA 592406",
"FRA 599903",
